PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.7731007,0.7826668,0.1164881,359.0846,0.8155096,0.2242308,08/08/2024 11:59:53
0.7731007,0.7826668,0.1164881,359.0846,0.8155096,0.2242308,08/08/2024 11:59:53
0.7733425,0.7839565,0.1148939,358.8242,1.227224,0.8574173,08/08/2024 11:59:53
0.7724611,0.7857671,0.1123935,358.793,1.786228,2.446244,08/08/2024 11:59:53
0.771878,0.7865857,0.111123,358.745,1.977612,3.100114,08/08/2024 11:59:53
0.7709407,0.7874936,0.1099491,358.8854,1.841202,3.693451,08/08/2024 11:59:53
0.7693429,0.7889726,0.1089807,359.0623,1.281936,4.285334,08/08/2024 11:59:53
0.7681417,0.7909247,0.1078813,359.1208,0.7659906,4.872888,08/08/2024 11:59:53
0.766154,0.794531,0.1058357,358.5789,359.9196,4.92648,08/08/2024 11:59:53
0.7633678,0.799822,0.1035208,357.6348,359.0333,4.955003,08/08/2024 11:59:53
0.7586997,0.8130315,0.09795363,355.7484,358.3307,5.668014,08/08/2024 11:59:53
0.7483014,0.8324552,0.0887042,352.7379,357.7419,7.442015,08/08/2024 11:59:53
0.7461092,0.8363554,0.08678041,352.1913,357.5705,7.78126,08/08/2024 11:59:53
0.746109,0.8363559,0.08678029,352.1912,357.5704,7.781379,08/08/2024 11:59:54
0.7314432,0.8576117,0.07908647,350.217,356.7952,11.91738,08/08/2024 11:59:54
0.7272946,0.8615267,0.07877834,350.5039,356.301,12.93208,08/08/2024 11:59:54
0.719254,0.8693978,0.07879192,351.149,355.1643,14.14088,08/08/2024 11:59:54
0.7016695,0.8832976,0.07724029,350.9011,352.2082,16.95248,08/08/2024 11:59:54
0.6888195,0.8945144,0.07497683,350.5582,350.228,19.25804,08/08/2024 11:59:54
0.6834742,0.8971298,0.07462427,350.0792,348.7597,19.35705,08/08/2024 11:59:54
0.6737939,0.9030496,0.0743269,348.7047,345.1071,19.82554,08/08/2024 11:59:54
0.6674047,0.9080049,0.07358361,348.0768,343.1103,20.89729,08/08/2024 11:59:54
0.6586625,0.9133199,0.07308081,347.9524,341.0662,22.20682,08/08/2024 11:59:54
0.6349149,0.9236469,0.07110453,347.7345,335.4604,26.0547,08/08/2024 11:59:54
0.6231155,0.9282197,0.06959787,347.7256,332.8486,27.8576,08/08/2024 11:59:54
0.6169337,0.9295694,0.06981623,348.1301,331.8433,28.603,08/08/2024 11:59:54
0.6120293,0.9300609,0.0710495,349.0388,331.4801,28.6358,08/08/2024 11:59:54
0.591638,0.9378126,0.07190073,350.8904,329.6835,29.88416,08/08/2024 11:59:54
0.5731986,0.9465724,0.07364608,352.3202,329.0833,30.57837,08/08/2024 11:59:54
0.564175,0.9493867,0.0748898,352.9651,328.421,31.1724,08/08/2024 11:59:54
0.5589028,0.9507263,0.07557574,353.2916,327.9326,31.57864,08/08/2024 11:59:54
0.5283461,0.955469,0.07683524,353.2296,322.3995,31.7156,08/08/2024 11:59:54
0.5112761,0.9596362,0.0754286,351.9785,317.6245,30.52083,08/08/2024 11:59:54
0.496225,0.9634922,0.07449516,350.9056,313.7592,29.6108,08/08/2024 11:59:54
0.4899669,0.9650343,0.07252659,348.5181,310.5209,27.46495,08/08/2024 11:59:54
0.4835269,0.9647304,0.07015233,345.8839,307.1821,25.05179,08/08/2024 11:59:54
0.4718006,0.9651684,0.06622206,341.9309,301.9464,21.97843,08/08/2024 11:59:54
0.4523399,0.9611948,0.06361017,339.1476,296.1389,19.23456,08/08/2024 11:59:54
0.4174888,0.9594646,0.06215183,339.2286,290.4156,17.53544,08/08/2024 11:59:54
0.3864912,0.9556335,0.06412596,341.3598,286.9468,16.31524,08/08/2024 11:59:54
0.3864912,0.9556335,0.06412596,341.3598,286.9468,16.31524,08/08/2024 11:59:54
0.3725107,0.9525998,0.06722633,341.9488,286.3765,15.44502,08/08/2024 11:59:54
0.3592759,0.9478574,0.07081329,342.5081,285.8853,13.79522,08/08/2024 11:59:54
0.3449507,0.9486294,0.06787143,341.7216,282.8495,13.7147,08/08/2024 11:59:55
0.3209747,0.9503896,0.05739183,341.0597,275.5778,13.69462,08/08/2024 11:59:55
0.3083957,0.9509356,0.05253518,340.8304,272.1541,13.44639,08/08/2024 11:59:55
0.2966362,0.9546234,0.04691783,340.759,269.9243,11.55744,08/08/2024 11:59:55
0.2786934,0.957976,0.04041224,341.4591,268.8852,9.627385,08/08/2024 11:59:55
0.2665102,0.9594432,0.04112902,341.7283,269.392,7.619872,08/08/2024 11:59:55
0.2508416,0.9543734,0.04597745,342.5464,270.753,3.531575,08/08/2024 11:59:55
0.2448892,0.9491883,0.04675304,342.9034,271.6488,2.375608,08/08/2024 11:59:55
0.2393958,0.9448314,0.04757709,343.2253,272.2525,1.236994,08/08/2024 11:59:55
0.230941,0.9381154,0.04774165,344.5109,273.4789,0.1492898,08/08/2024 11:59:55
0.2252681,0.934924,0.04770769,344.8637,273.3529,1.144541,08/08/2024 11:59:55
0.2202181,0.931355,0.04660602,346.5766,272.7653,2.225003,08/08/2024 11:59:55
0.2121555,0.9224809,0.04601603,350.3144,272.0968,2.943669,08/08/2024 11:59:55
0.210393,0.9208164,0.04593457,350.9704,271.9653,2.997444,08/08/2024 11:59:55
0.2022969,0.9111001,0.045343,355.8021,271.5383,4.182535,08/08/2024 11:59:55
0.1954868,0.9065466,0.04608002,357.9886,271.4045,5.296026,08/08/2024 11:59:55
0.1910237,0.9034259,0.04683657,359.2358,271.2912,5.74051,08/08/2024 11:59:55
0.1899798,0.9026088,0.04859009,359.5815,271.7648,5.956922,08/08/2024 11:59:55
